Inference - Gaussian_REDS4
save_image: False
border: False
input_path: ../dataset/REDS4_BlurDown_Gaussian/blurdown_x4
gt_path: ../dataset/REDS4_BlurDown_Gaussian/sharp
model_path: ../pretrain_models/gaussian_e1r3.pt
result_path: ../infer_results/infer_Gaussian_REDS4
quick_test: Gaussian_REDS4
large_model: False
n_seq: 5
scale: 4
size_must_mode: 1
device: cuda
Loading model from ../pretrain_models/gaussian_e1r3.pt
> 011-00000087 PSNR=29.725, SSIM=0.8316 pre_time:0.0269s, forward_time:0.46s, post_time:0.882s, total_time:1.37s
> 011-00000088 PSNR=29.864, SSIM=0.8444 pre_time:0.0262s, forward_time:0.476s, post_time:0.867s, total_time:1.37s
> 011-00000089 PSNR=29.809, SSIM=0.843 pre_time:0.0269s, forward_time:0.469s, post_time:0.859s, total_time:1.35s
> 011-00000090 PSNR=29.79, SSIM=0.8432 pre_time:0.0262s, forward_time:0.467s, post_time:0.859s, total_time:1.35s
> 011-00000091 PSNR=29.698, SSIM=0.8426 pre_time:0.0261s, forward_time:0.459s, post_time:0.861s, total_time:1.35s
> 011-00000092 PSNR=29.696, SSIM=0.8443 pre_time:0.0263s, forward_time:0.464s, post_time:0.864s, total_time:1.35s
> 011-00000093 PSNR=29.571, SSIM=0.8426 pre_time:0.0272s, forward_time:0.457s, post_time:0.865s, total_time:1.35s
> 011-00000094 PSNR=29.455, SSIM=0.8359 pre_time:0.0263s, forward_time:0.462s, post_time:0.869s, total_time:1.36s
> 011-00000095 PSNR=29.439, SSIM=0.8318 pre_time:0.0265s, forward_time:0.461s, post_time:0.865s, total_time:1.35s
> 011-00000096 PSNR=29.451, SSIM=0.8288 pre_time:0.0268s, forward_time:0.464s, post_time:0.868s, total_time:1.36s
> 011-00000097 PSNR=29.324, SSIM=0.8243 pre_time:0.0263s, forward_time:0.461s, post_time:0.865s, total_time:1.35s
> 015-00000002 PSNR=31.041, SSIM=0.8896 pre_time:0.0263s, forward_time:0.463s, post_time:0.865s, total_time:1.35s
> 015-00000003 PSNR=31.049, SSIM=0.8934 pre_time:0.0257s, forward_time:0.472s, post_time:0.868s, total_time:1.37s
> 015-00000004 PSNR=31.366, SSIM=0.8957 pre_time:0.0254s, forward_time:0.466s, post_time:0.863s, total_time:1.35s
