Inference - NonGaussian_REDS4
save_image: False
border: False
input_path: ../dataset/REDS4_BlurDown_NonGaussian/blurdown_x4
gt_path: ../dataset/REDS4_BlurDown_NonGaussian/sharp
model_path: ../pretrain_models/kg_e1r3.pt
result_path: ../infer_results/infer_NonGaussian_REDS4
quick_test: NonGaussian_REDS4
large_model: False
n_seq: 5
scale: 4
size_must_mode: 1
device: cuda
Loading model from ../pretrain_models/kg_e1r3.pt
> 011-00000033 PSNR=29.559, SSIM=0.8476 pre_time:0.0281s, forward_time:0.482s, post_time:2.27s, total_time:2.78s
> 011-00000034 PSNR=29.636, SSIM=0.8555 pre_time:0.0279s, forward_time:0.469s, post_time:2.27s, total_time:2.77s
> 011-00000035 PSNR=29.661, SSIM=0.8619 pre_time:0.0273s, forward_time:0.462s, post_time:2.24s, total_time:2.73s
> 011-00000036 PSNR=29.532, SSIM=0.8586 pre_time:0.028s, forward_time:0.52s, post_time:2.48s, total_time:3.03s
> 011-00000037 PSNR=29.56, SSIM=0.8545 pre_time:0.0282s, forward_time:0.524s, post_time:2.45s, total_time:3.0s
> 011-00000038 PSNR=29.596, SSIM=0.8498 pre_time:0.0282s, forward_time:0.522s, post_time:2.48s, total_time:3.03s
> 011-00000039 PSNR=29.619, SSIM=0.8479 pre_time:0.0282s, forward_time:0.519s, post_time:2.48s, total_time:3.03s
> 011-00000040 PSNR=29.69, SSIM=0.8503 pre_time:0.0281s, forward_time:0.525s, post_time:2.46s, total_time:3.01s
> 011-00000041 PSNR=29.531, SSIM=0.8473 pre_time:0.0278s, forward_time:0.526s, post_time:2.5s, total_time:3.05s
> 011-00000042 PSNR=29.695, SSIM=0.851 pre_time:0.0311s, forward_time:0.522s, post_time:2.43s, total_time:2.98s
> 011-00000043 PSNR=29.66, SSIM=0.8479 pre_time:0.0286s, forward_time:0.513s, post_time:2.44s, total_time:2.98s
> 011-00000044 PSNR=29.662, SSIM=0.8481 pre_time:0.0281s, forward_time:0.475s, post_time:2.33s, total_time:2.84s
> 011-00000045 PSNR=29.699, SSIM=0.8438 pre_time:0.0272s, forward_time:0.457s, post_time:2.34s, total_time:2.83s
> 011-00000046 PSNR=29.981, SSIM=0.8455 pre_time:0.0293s, forward_time:0.517s, post_time:2.5s, total_time:3.05s
> 011-00000047 PSNR=30.012, SSIM=0.8479 pre_time:0.0279s, forward_time:0.516s, post_time:2.59s, total_time:3.14s
> 011-00000048 PSNR=29.981, SSIM=0.8515 pre_time:0.0273s, forward_time:0.524s, post_time:2.49s, total_time:3.04s
> 011-00000049 PSNR=29.949, SSIM=0.8544 pre_time:0.0279s, forward_time:0.516s, post_time:2.49s, total_time:3.03s
> 011-00000050 PSNR=30.07, SSIM=0.862 pre_time:0.0277s, forward_time:0.523s, post_time:2.52s, total_time:3.07s
> 011-00000051 PSNR=30.032, SSIM=0.8637 pre_time:0.0292s, forward_time:0.522s, post_time:2.47s, total_time:3.03s
> 011-00000052 PSNR=29.753, SSIM=0.8626 pre_time:0.028s, forward_time:0.512s, post_time:2.43s, total_time:2.97s
> 011-00000053 PSNR=29.88, SSIM=0.8601 pre_time:0.028s, forward_time:0.462s, post_time:2.35s, total_time:2.84s
> 011-00000054 PSNR=29.916, SSIM=0.8586 pre_time:0.0275s, forward_time:0.468s, post_time:2.35s, total_time:2.85s
> 011-00000055 PSNR=30.097, SSIM=0.8561 pre_time:0.0291s, forward_time:0.522s, post_time:2.44s, total_time:2.99s
> 011-00000056 PSNR=30.12, SSIM=0.8521 pre_time:0.0294s, forward_time:0.476s, post_time:2.36s, total_time:2.87s
> 011-00000057 PSNR=30.186, SSIM=0.8562 pre_time:0.028s, forward_time:0.471s, post_time:2.32s, total_time:2.82s
> 011-00000058 PSNR=30.015, SSIM=0.8498 pre_time:0.0273s, forward_time:0.48s, post_time:2.35s, total_time:2.86s
> 011-00000059 PSNR=29.967, SSIM=0.845 pre_time:0.0277s, forward_time:0.466s, post_time:2.32s, total_time:2.82s
> 011-00000060 PSNR=30.068, SSIM=0.8521 pre_time:0.0282s, forward_time:0.527s, post_time:2.38s, total_time:2.94s
> 011-00000061 PSNR=30.006, SSIM=0.8593 pre_time:0.0279s, forward_time:0.522s, post_time:2.36s, total_time:2.91s
> 011-00000062 PSNR=29.793, SSIM=0.8594 pre_time:0.0584s, forward_time:0.471s, post_time:2.23s, total_time:2.76s
> 011-00000063 PSNR=29.735, SSIM=0.8591 pre_time:0.0281s, forward_time:0.475s, post_time:2.23s, total_time:2.74s
> 011-00000064 PSNR=29.769, SSIM=0.8566 pre_time:0.0404s, forward_time:0.526s, post_time:2.33s, total_time:2.9s
