Inference - Gaussian_Vid4
save_image: False
border: False
input_path: ../dataset/Vid4_BlurDown_Gaussian/blurdown_x4
gt_path: ../dataset/Vid4_BlurDown_Gaussian/sharp
model_path: ../pretrain_models/gaussian_e1r3.pt
result_path: ../infer_results/infer_Gaussian_Vid4
quick_test: Gaussian_Vid4
large_model: False
n_seq: 5
scale: 4
size_must_mode: 1
device: cuda
Loading model from ../pretrain_models/gaussian_e1r3.pt
> walk-00000010 PSNR=27.491, SSIM=0.8565 pre_time:0.0169s, forward_time:0.416s, post_time:0.46s, total_time:0.892s
> walk-00000011 PSNR=27.32, SSIM=0.8527 pre_time:0.0161s, forward_time:0.27s, post_time:0.455s, total_time:0.741s
> walk-00000012 PSNR=27.148, SSIM=0.8489 pre_time:0.0163s, forward_time:0.275s, post_time:0.464s, total_time:0.755s
> walk-00000013 PSNR=27.392, SSIM=0.8518 pre_time:0.0171s, forward_time:0.385s, post_time:0.466s, total_time:0.869s
> walk-00000014 PSNR=27.445, SSIM=0.8527 pre_time:0.0161s, forward_time:0.433s, post_time:0.475s, total_time:0.924s
> walk-00000015 PSNR=27.295, SSIM=0.8492 pre_time:0.017s, forward_time:0.275s, post_time:0.453s, total_time:0.745s
> walk-00000016 PSNR=27.441, SSIM=0.8545 pre_time:0.0157s, forward_time:0.278s, post_time:0.455s, total_time:0.748s
> walk-00000017 PSNR=27.451, SSIM=0.8544 pre_time:0.0167s, forward_time:0.351s, post_time:0.482s, total_time:0.85s
> walk-00000018 PSNR=27.305, SSIM=0.8508 pre_time:0.016s, forward_time:0.416s, post_time:0.459s, total_time:0.891s
> walk-00000019 PSNR=27.504, SSIM=0.8556 pre_time:0.0171s, forward_time:0.277s, post_time:0.446s, total_time:0.74s
> walk-00000020 PSNR=27.576, SSIM=0.8563 pre_time:0.0159s, forward_time:0.267s, post_time:0.458s, total_time:0.741s
> walk-00000021 PSNR=27.389, SSIM=0.8532 pre_time:0.0175s, forward_time:0.366s, post_time:0.461s, total_time:0.844s
> walk-00000022 PSNR=27.455, SSIM=0.8562 pre_time:0.017s, forward_time:0.418s, post_time:0.457s, total_time:0.892s
> walk-00000023 PSNR=27.391, SSIM=0.8563 pre_time:0.0165s, forward_time:0.268s, post_time:0.445s, total_time:0.73s
> walk-00000024 PSNR=27.266, SSIM=0.8538 pre_time:0.0158s, forward_time:0.278s, post_time:0.467s, total_time:0.761s
> walk-00000025 PSNR=27.457, SSIM=0.8624 pre_time:0.0168s, forward_time:0.391s, post_time:0.466s, total_time:0.874s
> walk-00000026 PSNR=27.536, SSIM=0.8631 pre_time:0.0166s, forward_time:0.423s, post_time:0.467s, total_time:0.906s
> walk-00000027 PSNR=27.345, SSIM=0.8587 pre_time:0.0157s, forward_time:0.274s, post_time:0.451s, total_time:0.741s
> walk-00000028 PSNR=27.458, SSIM=0.861 pre_time:0.0157s, forward_time:0.274s, post_time:0.458s, total_time:0.748s
> walk-00000029 PSNR=27.365, SSIM=0.8599 pre_time:0.0185s, forward_time:0.395s, post_time:0.48s, total_time:0.894s
> walk-00000030 PSNR=27.205, SSIM=0.8572 pre_time:0.0175s, forward_time:0.41s, post_time:0.468s, total_time:0.896s
> walk-00000031 PSNR=27.399, SSIM=0.8619 pre_time:0.0164s, forward_time:0.289s, post_time:0.462s, total_time:0.767s
> walk-00000032 PSNR=27.456, SSIM=0.8639 pre_time:0.0166s, forward_time:0.281s, post_time:0.469s, total_time:0.767s
> walk-00000033 PSNR=27.382, SSIM=0.8615 pre_time:0.0175s, forward_time:0.371s, post_time:0.467s, total_time:0.856s
> walk-00000034 PSNR=27.505, SSIM=0.8651 pre_time:0.0171s, forward_time:0.421s, post_time:0.464s, total_time:0.902s
> walk-00000035 PSNR=27.655, SSIM=0.8655 pre_time:0.016s, forward_time:0.276s, post_time:0.455s, total_time:0.747s
> walk-00000036 PSNR=27.599, SSIM=0.8634 pre_time:0.016s, forward_time:0.27s, post_time:0.471s, total_time:0.757s
> walk-00000037 PSNR=27.94, SSIM=0.8734 pre_time:0.0173s, forward_time:0.395s, post_time:0.473s, total_time:0.885s
> walk-00000038 PSNR=28.022, SSIM=0.8764 pre_time:0.0168s, forward_time:0.426s, post_time:0.473s, total_time:0.915s
> walk-00000039 PSNR=27.805, SSIM=0.8732 pre_time:0.0168s, forward_time:0.285s, post_time:0.467s, total_time:0.77s
> walk-00000040 PSNR=27.895, SSIM=0.8775 pre_time:0.0164s, forward_time:0.276s, post_time:0.469s, total_time:0.761s
> walk-00000041 PSNR=28.04, SSIM=0.8779 pre_time:0.0174s, forward_time:0.345s, post_time:0.471s, total_time:0.834s
> walk-00000042 PSNR=27.943, SSIM=0.8757 pre_time:0.0171s, forward_time:0.426s, post_time:0.475s, total_time:0.918s
> walk-00000043 PSNR=28.115, SSIM=0.8779 pre_time:0.0164s, forward_time:0.276s, post_time:0.456s, total_time:0.748s
> walk-00000044 PSNR=28.131, SSIM=0.8799 pre_time:0.0173s, forward_time:0.272s, post_time:0.469s, total_time:0.759s
# Video:calendar AVG-PSNR=20.891, AVG-SSIM=0.6964
# Video:city AVG-PSNR=25.489, AVG-SSIM=0.7268
# Video:foliage AVG-PSNR=23.842, AVG-SSIM=0.6893
# Video:walk AVG-PSNR=27.495, AVG-SSIM=0.8591
# Total AVG-PSNR=24.47, AVG-SSIM=0.7454
