Inference - NonGaussian_REDS4_L
save_image: False
border: False
input_path: ../dataset/REDS4_BlurDown_NonGaussian/blurdown_x4
gt_path: ../dataset/REDS4_BlurDown_NonGaussian/sharp
model_path: ../pretrain_models/kg_e3r20.pt
result_path: ../infer_results/infer_NonGaussian_REDS4_L
quick_test: NonGaussian_REDS4_L
large_model: True
n_seq: 5
scale: 4
size_must_mode: 1
device: cuda
Loading model from ../pretrain_models/kg_e3r20.pt
> 011-00000063 PSNR=30.919, SSIM=0.8822 pre_time:0.0358s, forward_time:0.907s, post_time:1.71s, total_time:2.65s
> 011-00000064 PSNR=30.966, SSIM=0.88 pre_time:0.0463s, forward_time:0.704s, post_time:1.45s, total_time:2.2s
> 011-00000065 PSNR=30.956, SSIM=0.8761 pre_time:0.0701s, forward_time:0.89s, post_time:1.97s, total_time:2.93s
> 011-00000066 PSNR=31.013, SSIM=0.8777 pre_time:0.101s, forward_time:1.16s, post_time:1.89s, total_time:3.16s
> 011-00000067 PSNR=30.767, SSIM=0.8682 pre_time:0.0412s, forward_time:1.4s, post_time:2.18s, total_time:3.62s
> 011-00000068 PSNR=31.016, SSIM=0.8657 pre_time:0.0347s, forward_time:0.848s, post_time:1.44s, total_time:2.32s
> 011-00000069 PSNR=31.21, SSIM=0.8678 pre_time:0.047s, forward_time:0.855s, post_time:1.68s, total_time:2.58s
> 011-00000070 PSNR=30.999, SSIM=0.8655 pre_time:0.0453s, forward_time:0.91s, post_time:1.7s, total_time:2.66s
> 011-00000071 PSNR=31.02, SSIM=0.8633 pre_time:0.0746s, forward_time:1.11s, post_time:1.83s, total_time:3.01s
> 011-00000072 PSNR=31.068, SSIM=0.8623 pre_time:0.0355s, forward_time:0.773s, post_time:1.42s, total_time:2.23s
> 011-00000073 PSNR=30.959, SSIM=0.8598 pre_time:0.0344s, forward_time:1.06s, post_time:1.85s, total_time:2.95s
> 011-00000074 PSNR=30.928, SSIM=0.8611 pre_time:0.0593s, forward_time:0.83s, post_time:1.66s, total_time:2.55s
> 011-00000075 PSNR=30.822, SSIM=0.8617 pre_time:0.0332s, forward_time:0.95s, post_time:1.2s, total_time:2.18s
> 011-00000076 PSNR=30.96, SSIM=0.8684 pre_time:0.0341s, forward_time:0.566s, post_time:1.29s, total_time:1.89s
> 011-00000077 PSNR=31.17, SSIM=0.8731 pre_time:0.0316s, forward_time:0.567s, post_time:1.28s, total_time:1.88s
> 011-00000078 PSNR=31.208, SSIM=0.8729 pre_time:0.0325s, forward_time:0.579s, post_time:1.25s, total_time:1.86s
> 011-00000079 PSNR=31.076, SSIM=0.867 pre_time:0.0383s, forward_time:0.571s, post_time:1.19s, total_time:1.8s
> 011-00000080 PSNR=30.936, SSIM=0.861 pre_time:0.0318s, forward_time:0.581s, post_time:1.16s, total_time:1.77s
> 011-00000081 PSNR=30.88, SSIM=0.8579 pre_time:0.0319s, forward_time:0.572s, post_time:1.15s, total_time:1.76s
> 011-00000082 PSNR=30.757, SSIM=0.8528 pre_time:0.0356s, forward_time:0.588s, post_time:1.18s, total_time:1.8s
> 011-00000083 PSNR=30.855, SSIM=0.8573 pre_time:0.0332s, forward_time:0.576s, post_time:1.14s, total_time:1.75s
> 011-00000084 PSNR=31.005, SSIM=0.865 pre_time:0.0336s, forward_time:0.582s, post_time:1.15s, total_time:1.76s
> 011-00000085 PSNR=30.755, SSIM=0.8576 pre_time:0.0315s, forward_time:0.568s, post_time:1.15s, total_time:1.75s
> 011-00000086 PSNR=30.708, SSIM=0.8563 pre_time:0.0319s, forward_time:0.587s, post_time:1.15s, total_time:1.77s
> 011-00000087 PSNR=30.863, SSIM=0.8655 pre_time:0.0334s, forward_time:0.57s, post_time:1.15s, total_time:1.75s
> 011-00000088 PSNR=30.921, SSIM=0.8752 pre_time:0.032s, forward_time:0.595s, post_time:1.15s, total_time:1.78s
> 011-00000089 PSNR=30.952, SSIM=0.8761 pre_time:0.0309s, forward_time:0.621s, post_time:1.17s, total_time:1.82s
> 011-00000090 PSNR=30.887, SSIM=0.8757 pre_time:0.0307s, forward_time:0.673s, post_time:1.18s, total_time:1.89s
> 011-00000091 PSNR=30.811, SSIM=0.876 pre_time:0.031s, forward_time:0.68s, post_time:1.17s, total_time:1.88s
> 011-00000092 PSNR=30.751, SSIM=0.8766 pre_time:0.031s, forward_time:0.617s, post_time:1.18s, total_time:1.83s
> 011-00000093 PSNR=30.557, SSIM=0.8748 pre_time:0.0309s, forward_time:0.739s, post_time:1.2s, total_time:1.96s
> 011-00000094 PSNR=30.513, SSIM=0.8703 pre_time:0.0325s, forward_time:0.805s, post_time:1.2s, total_time:2.04s
> 011-00000095 PSNR=30.531, SSIM=0.8673 pre_time:0.031s, forward_time:0.738s, post_time:1.21s, total_time:1.97s
> 011-00000096 PSNR=30.525, SSIM=0.8642 pre_time:0.0347s, forward_time:0.705s, post_time:1.18s, total_time:1.92s
> 011-00000097 PSNR=30.396, SSIM=0.861 pre_time:0.0312s, forward_time:0.734s, post_time:1.18s, total_time:1.94s
> 015-00000002 PSNR=32.535, SSIM=0.9175 pre_time:0.0303s, forward_time:0.718s, post_time:1.17s, total_time:1.92s
> 015-00000003 PSNR=32.568, SSIM=0.9222 pre_time:0.0312s, forward_time:0.729s, post_time:1.19s, total_time:1.95s
> 015-00000004 PSNR=32.736, SSIM=0.9239 pre_time:0.0316s, forward_time:0.701s, post_time:1.17s, total_time:1.9s
